schema,new_file,old_file,path,type,required,description
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.telefono","null|string","si","Teléfono (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.correo","null|string","si","Correo electrónico (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.codDomiciliado","integer","si","Domicilio Fiscal"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.codPais","string","si","Codigo de país de nacionalidad del (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","cuerpoDocumento[].tipoDepreciacion","number","si","Depreciación"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","identificacion.fusion","string|null","si","Fusiónes y otros"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","emisor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","receptor.tipoDocumento","string","si","Tipo de documento de identificación (Receptor)"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","receptor.numDocumento","string","si","Número de documento de Identificación (Receptor)"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","receptor.codDomiciliado","integer","si","Domicilio Fiscal"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","receptor.direccion.distrito","string","si","Dirección Distrito (Receptor)"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","cuerpoDocumento[].fechaEmision","string","si","Fecha de generación del Documento relacionado"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","cuerpoDocumento[].observaciones","string|null","si","Observaciones por ítem"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","resumen.exportacion","number","si","Total de Operaciones Exportación"
"fe-cl","svfe-json-schemas-new/v2/fe-cl-v2.json","svfe-json-schemas-old/fe-cl-v1.json","resumen.observaciones","string|null","si","Observaciones"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","identificacion.fusion","string|null","no","Fusiónes y otros"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","emisor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","emisor.codEstable","string|null","si","Código del establecimiento asignado por el contribuyente"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","emisor.codPuntoVenta","string|null","si","Código del Punto de Venta (Emisor) asignado por el contribuyente"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","receptor.direccion.distrito","string","si","Dirección: Distrito (Receptor)"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","cuerpoDocumento[].tipoGeneracion","null|integer","si","Tipo de generación del documento relacionado"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","resumen.totalIva","number","si","IVA 13%"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","resumen.totalIvaRetenido","number","si","Total IVA Retenido"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","resumen.totalLetras","null|string","si","Valor en letras"
"fe-cr","svfe-json-schemas-new/v2/fe-cr-v2.json","svfe-json-schemas-old/fe-cr-v1.json","resumen.observaciones","string|null","si","Observaciones"
"fe-dcl","svfe-json-schemas-new/v2/fe-dcl-v2.json","svfe-json-schemas-old/fe-dcl-v1.json","emisor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-dcl","svfe-json-schemas-new/v2/fe-dcl-v2.json","svfe-json-schemas-old/fe-dcl-v1.json","emisor.puntoVenta","string|null","si","Codigo del punto de venta:(Emisor) asignado por el contribuyente"
"fe-dcl","svfe-json-schemas-new/v2/fe-dcl-v2.json","svfe-json-schemas-old/fe-dcl-v1.json","receptor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion","object","si","Identificación"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.version","integer","si","Versión"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.ambiente","string","si","Ambiente de destino"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.codigoGeneracion","string","si","Código de Generación"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.tipoEvento","string","si","Tipo de Evento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.fecEmi","string","si","Fecha del evento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.horEmi","string","si","Hora del evento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.fusion","string|null","si","Fusiones y otros"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","identificacion.tipoMoneda","string","si","Tipo de Moneda"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor","object","si","Información del Emisor"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.nit","string","si","NIT (Emisor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.nombre","string","si","Nombre (Emisor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.codEstableMH","string","si","Código del establecimiento asignado por el MH"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.codEstable","string|null","no","Código del establecimiento asignado por el contribuyente (Opcional)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.codPuntoVentaMH","string","si","Código del Punto de Venta (Emisor) asignado por el MH"
